isbn,price
9784863884588,"1,200"
9784819153195,"1,100"
2100013931198,"7,287"
9784046053985,"1,870"
9784899765608,"1,760"
9784048985048,"1,349"
9784163918211,"1,980"
9784529064040,"1,760"
9784776213420,"1,650"
9784048977432,"2,695"
9784098628155,"1,595"
2100013931082,"6,556"
9784198658151,"1,760"
9784065352083,759
2100013875607,"1,760"
9784488451127,880
9784163917726,"1,980"
9784838794348,"1,100"
9784838732685,"1,300"
9784757591653,730
9784041149508,748
9784065351406,759
9784046067142,"1,540"
2100013931181,"20,328"
9784098627691,770
9784163918211,"1,980"
9784488451127,880
9784163917726,"1,980"
9784163917733,"1,980"
9784478117811,"1,650"
9784103549529,"1,760"
9784164010068,"1,870"
9784750518404,"1,870"
9784150124427,"1,100"
9784344433700,880
9784864109932,770
9784344433717,880
9784344042575,"1,999"
9784087446258,"1,100"
9784864109826,"1,650"
9784620328058,"1,540"
9784480805164,"1,980"
9784087901665,"2,310"
9784799330326,"1,760"
9784334102715,792
9784896344684,"2,420"
9784344042391,"1,870"
9784334103026,"1,980"
9784758446310,858
9784065351987,"2,530"
9784122075085,902
9784150124342,"1,210"
9784758446327,858
9784575671971,770
9784048977432,"2,695"
9784838732685,"1,300"
9784385139654,"2,530"
9784049152449,"1,210"
9784385139623,"2,530"
9784053056672,"2,420"
9784838790869,"3,520"
9784262155401,990
9784323075341,"1,430"
9784065276600,"1,650"
9784335359903,"1,650"
9784065346624,"1,760"
9784278087000,"1,320"
9784057508849,"3,300"
9784041129739,"21,945"
9784065354551,"1,980"
9784022751096,"1,100"
9784041129791,"19,140"
9784838732579,"1,300"
9784053056702,"2,420"
9784098628155,"1,595"
9784065352083,759
9784757591653,730
9784041149508,748
9784065351406,759
9784098627691,770
9784041148372,"1,320"
9784046835956,748
9784088840130,528
9784098627622,792
9784098628148,"1,045"
9784098628162,880
9784098626915,770
9784088840383,528
9784088931722,770
9784065353004,759
9784065352748,759
9784088448985,528
9784048996174,759
9784065350201,759
9784098628292,792
9784575418712,748
9784065350171,836
9784860722142,"1,210"
9784065349526,759
9784065353325,759
9784074594832,792
9784074567287,792
9784899765608,"1,760"
9784529064040,"1,760"
9784824007964,847
9784046835437,726
9784434335020,"1,320"
9784074568987,"2,970"
9784834785180,"1,650"
9784299050755,"1,650"
9784046068286,"1,760"
9784434336355,"1,320"
9784074557752,792
9784049152982,803
9784046067586,"1,650"
9784299053428,990
9784299048134,"3,729"
9784824007391,770
9784434337796,"1,320"
9784798635118,"1,430"
9784046835444,726
9784594095215,"1,870"
9784296204823,"3,300"
9784299053350,"2,794"
9784904431900,880
9784829650936,825
9784434337864,704
9784824007957,880
9784299048158,"3,729"
9784575318715,"1,870"
9784299052841,"2,310"
9784046835758,"1,760"
9784866696652,880
9784829660201,770
9784596540836,693
9784801939622,935
9784046835550,"1,540"
9784049156188,792
9784824007940,770
9784049157413,880
9784766138689,"8,580"
9784299053060,"3,080"
9784837929833,"1,650"
9784867421604,"2,200"
9784041148372,"1,320"
9784865897791,880
9784041143919,770
9784867870167,760
9784815543389,"1,430"
9784864956598,880
9784829660218,825
9784046053985,"1,870"
9784198658151,"1,760"
9784040754147,858
9784824004413,715
9784049156010,770
9784040754642,792
9784824007933,847
9784488451127,880
9784150124427,"1,100"
9784776212102,"1,595"
9784299052223,"3,058"
9784800912947,"3,300"
9784796416528,885
9784789737050,"3,850"
9784344854048,814
9784396704476,792
9784801939639,935
9784434337871,704
9784434337529,704
9784815623654,990
9784065346440,990
9784022951670,869
9784594097301,990
9784046067142,"1,540"
9784478119044,"1,980"
9784299050755,"1,650"
9784815623654,990
9784838756636,"1,400"
9784046834720,726
9784049155587,770
9784344433700,880
9784344433717,880
9784124805116,"12,980"
9784087446258,"1,100"
9784898155868,"4,400"
2100013890402,"1,925"
9784296204687,"1,650"
9784048955126,"2,090"
9784866537818,830
9784866537856,819
9784867870297,730
9784821157990,825
9784829626825,825
9784434333071,792
9784434337512,"1,320"
9784596540331,814
9784569856711,990
9784065348246,990
9784594097295,990
9784166614516,990
9784434336782,850
9784198658168,"1,870"
9784074596904,836
9784824007926,715
9784046835406,726
9784046834744,792
9784824007896,957
9784334102715,792
9784758446310,858
9784122075085,902
9784479786047,"1,760"
9784865814200,"1,760"
9784799112205,"1,650"
9784867870259,840
9784815532932,825
9784344854123,748
9784434337406,"1,430"
9784596540355,836
9784253138901,759
9784596776020,693
9784829626818,858
9784065351925,990
9784065330852,"1,012"
9784121508157,968
9784065353639,990
9784160084780,"1,430"
9784819114349,"2,530"
9784837929833,"1,650"
9784150124342,"1,210"
9784758446327,858
9784575671971,770
9784199011290,792
9784773062908,803
9784865897807,770
9784864956581,880
9784596540416,"1,320"
9784815543396,"1,430"
9784344987265,"1,056"
9784594097417,"1,012"
9784413046916,"1,188"
9784106110405,"1,210"
9784867421604,"2,200"
9784896329360,"5,280"
9784335315602,"7,700"
9784794998453,"2,970"
9784800912947,"3,300"
9784065353899,781
9784041133088,770
9784334102845,770
9784101191256,935
9784102405413,"1,320"
9784592721383,792
9784865897814,770
9784866577562,825
9784758026864,"1,045"
9784047379701,792
9784434334085,"1,980"
9784867870389,840
9784596540379,"1,320"
9784829655436,770
9784838775231,"1,100"
9784296119868,990
9784569856711,990
9784641233324,"6,270"
9784041143247,748
9784101433226,737
9784758026857,825
9784866577548,825
9784866696614,836
9784576240282,880
9784065351918,"1,320"
9784106110382,836
9784898318966,"1,100"
2100013932850,"1,430"
9784788600959,"3,850"
9784479786047,"1,760"
9784046054906,"1,870"
9784296117673,"2,420"
9784896329315,"6,930"
9784829972526,"1,980"
9784101444628,737
9784041141113,814
9784044008192,"1,914"
9784575527445,748
9784065350690,"1,155"
9784867870419,840
9784774765549,748
9784434333095,"1,129"
9784121508096,990
9784413046947,"1,155"
9784791704477,"1,760"
9784594097295,990
9784260052375,"11,000"
9784896329261,"30,360"
9784896329308,"3,300"
9784524210435,"3,960"
9784260053815,"6,490"
9784296204823,"3,300"
9784798635163,"2,200"
9784766138689,"8,580"
9784862752796,"2,750"
9784779649912,880
9784408558783,814
9784434337604,814
9784087446371,770
9784434337864,704
9784635049894,"1,265"
9784121028013,"1,100"
9784065356722,"1,210"
9784813781479,803
9784166614462,990
9784121027986,"1,078"
9784828426228,"1,650"
9784791714636,"1,760"
9784046067234,"1,760"
9784840755818,"5,060"
9784896329292,"4,400"
9784861447792,"1,650"
9784910315362,"1,650"
9784880735146,"2,970"
9784297141561,"3,300"
9784004320159,"1,034"
9784787825926,"3,960"
9784260053433,"17,050"
9784106110405,"1,210"
9784896344684,"2,420"
9784788292840,"5,610"
9784777027613,"3,190"
9784896329285,"4,620"
9784478120224,"3,960"
9784779650109,"3,300"
9784910351100,"2,090"
9784344042506,"1,650"
9784839217303,"3,960"
9784818027626,"4,620"
9784581023078,"1,518"
9784800591883,"2,420"
9784779650314,"1,320"
9784776213420,"1,650"
9784065350355,"1,980"
9784296001866,"2,090"
9784863995789,"3,300"
9784818027633,"4,400"
9784818027619,"2,860"
9784818027657,"3,960"
9784818027640,"3,850"
9784886154279,"3,740"
9784573601574,"1,899"
9784896344691,"2,420"
9784802214087,"2,750"
9784866734002,"1,430"
9784866809366,"1,650"
9784299053428,990
9784498120167,"3,960"
9784840755528,"5,280"
9784765319812,"14,300"
9784260053594,"5,610"
9784779649998,"1,200"
9784862402158,"9,900"
9784065351918,"1,320"
9784777831234,"2,720"
9784296001538,"1,760"
9784502500718,"4,180"
9784065346440,990
9784866734040,"1,980"
9784758320894,"4,180"
9784899904427,"3,630"
9784299053824,"1,265"
9784046067951,"1,760"
9784022951670,869
9784594097301,990
2100013932850,"1,430"
9784478119051,"1,848"
9784385139654,"2,530"
9784385139623,"2,530"
9784053056672,"2,420"
9784906033713,"3,300"
9784815624255,"1,760"
9784761277222,"2,420"
9784904337370,"3,498"
9784766873054,"2,970"
9784046068439,"1,650"
9784065348246,990
9784750518404,"1,870"
9784010937778,"1,650"
9784794998453,"2,970"
9784010937761,"1,760"
9784010937754,"1,870"
9784910315362,"1,650"
9784761277246,"1,870"
9784297141561,"3,300"
9784065347829,"3,300"
9784910364452,"1,540"
9784478116982,"1,870"
9784166614516,990
9784065351925,990
9784799330326,"1,760"
9784799673126,"2,310"
9784385137346,"5,280"
9784799673133,"2,310"
9784010937747,"2,420"
9784296080342,"2,640"
9784798183961,"3,278"
9784798181493,"3,080"
9784799330326,"1,760"
9784761277246,"1,870"
9784866809311,"1,540"
9784844997436,"3,300"
9784053056702,"2,420"
9784865315875,"1,320"
9784581023078,"1,518"
9784309617640,"1,562"
9784789844796,"3,080"
9784885748301,"1,980"
9784815625382,"2,970"
9784798185675,"3,278"
9784344947832,"1,760"
9784816710131,"1,870"
9784259567828,"1,870"
9784385139630,"2,640"
9784895720175,"1,999"
9784469041873,"3,960"
9784814400652,"4,400"
9784815624569,"2,640"
9784910428437,"2,530"
9784296070695,"3,960"
9784010352861,"1,540"
9784010937730,"3,080"
9784815618469,"2,585"
9784865943986,"2,420"
9784065342909,"2,750"
9784814400591,"3,960"
9784801822740,"1,100"
9784297138097,"3,630"
9784022727541,"1,320"
9784906033713,"3,300"
9784142231638,699
9784047378988,"1,485"
9784022751096,"1,100"
